Year,indicador-disponível,sériedescrição,província,sexo,idade,área-de-residência,nível-de-educação,ocupação,deficiência,composição-composta,quintil,unit,TIME_DETAIL,Value
2015,G,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_AIR,_T,106TKM,2015,751.0
2016,G,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_AIR,_T,106TKM,2016,690.0
2017,G,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_AIR,_T,106TKM,2017,643.0
2015,G,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_RAI,_T,106TKM,2015,234.0
2016,G,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_RAI,_T,106TKM,2016,321.0
2017,G,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_RAI,_T,106TKM,2017,702.0
2015,G,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_WAT,_T,106TKM,2015,52.0
2016,G,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_WAT,_T,106TKM,2016,54.0
2017,G,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_WAT,_T,106TKM,2017,58.0
2015,G,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_ROA,_T,106TKM,2015,51892.0
2016,G,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_ROA,_T,106TKM,2016,48844.0
2017,G,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_ROA,_T,106TKM,2017,52202.0
2015,G,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_TOT,_T,106TKM,2015,52930.0
2016,G,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_TOT,_T,106TKM,2016,49909.0
2017,G,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_TOT,_T,106TKM,2017,53605.0
2015,G,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_AIR,_T,106TKM,2015,5.0
2016,G,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_AIR,_T,106TKM,2016,5.0
2017,G,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_AIR,_T,106TKM,2017,4.0
2015,G,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_RAI,_T,106TKM,2015,4278.0
2016,G,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_RAI,_T,106TKM,2016,8969.0
2017,G,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_RAI,_T,106TKM,2017,12541.0
2015,G,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_WAT,_T,106TKM,2015,19.0
2016,G,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_WAT,_T,106TKM,2016,19.0
2017,G,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_WAT,_T,106TKM,2017,20.0
2015,G,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_ROA,_T,106TKM,2015,4407.0
2016,G,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_ROA,_T,106TKM,2016,4409.0
2017,G,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_ROA,_T,106TKM,2017,4733.0
2015,G,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_PIP,_T,106TKM,2015,440.0
2016,G,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_PIP,_T,106TKM,2016,375.0
2017,G,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_PIP,_T,106TKM,2017,353.0
2015,G,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_TOT,_T,106TKM,2015,9149.0
2016,G,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_TOT,_T,106TKM,2016,13777.0
2017,G,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_TOT,_T,106TKM,2017,17650.0
