Year,REF_AREA,TIME_DETAIL,SERIES,Value
2015,West Bank,2015,SH_HIV_INCD,0.04
2016,West Bank,2016,SH_HIV_INCD,0.25
2017,West Bank,2017,SH_HIV_INCD,0.08
2018,West Bank,2018,SH_HIV_INCD,0.04
2019,West Bank,2019,SH_HIV_INCD,0.22
2015,Gaza Strip,2015,SH_HIV_INCD,0.0
2016,Gaza Strip,2016,SH_HIV_INCD,0.0
2017,Gaza Strip,2017,SH_HIV_INCD,0.0
2018,Gaza Strip,2018,SH_HIV_INCD,0.05
2019,Gaza Strip,2019,SH_HIV_INCD,0.1
2015,PS,2015,SH_HIV_INCD,0.07
2016,PS,2016,SH_HIV_INCD,0.15
2017,PS,2017,SH_HIV_INCD,0.08
2018,PS,2018,SH_HIV_INCD,0.04
2019,PS,2019,SH_HIV_INCD,0.17
