Year,URBANISATION,SEX,REF_AREA,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2018,_T,M,West Bank,2018,NUMBER,VC_VOV_DCMN,
2018,_T,M,Gaza Strip,2018,NUMBER,VC_VOV_DCMN,
2018,_T,M,PS,2018,NUMBER,VC_VOV_DCMN,11.6
2018,_T,F,West Bank,2018,NUMBER,VC_VOV_DCMN,
2018,_T,F,Gaza Strip,2018,NUMBER,VC_VOV_DCMN,
2018,_T,F,PS,2018,NUMBER,VC_VOV_DCMN,9.2
2018,_T,_T,West Bank,2018,NUMBER,VC_VOV_DCMN,8.0
2018,_T,_T,Gaza Strip,2018,NUMBER,VC_VOV_DCMN,14.5
2018,_T,_T,PS,2018,NUMBER,VC_VOV_DCMN,10.5
2018,U,M,West Bank,2018,NUMBER,VC_VOV_DCMN,
2018,U,M,Gaza Strip,2018,NUMBER,VC_VOV_DCMN,
2018,U,M,PS,2018,NUMBER,VC_VOV_DCMN,
2018,U,F,West Bank,2018,NUMBER,VC_VOV_DCMN,
2018,U,F,Gaza Strip,2018,NUMBER,VC_VOV_DCMN,
2018,U,F,PS,2018,NUMBER,VC_VOV_DCMN,
2018,U,_T,West Bank,2018,NUMBER,VC_VOV_DCMN,
2018,U,_T,Gaza Strip,2018,NUMBER,VC_VOV_DCMN,
2018,U,_T,PS,2018,NUMBER,VC_VOV_DCMN,10.3
2018,R,M,West Bank,2018,NUMBER,VC_VOV_DCMN,
2018,R,M,Gaza Strip,2018,NUMBER,VC_VOV_DCMN,
2018,R,M,PS,2018,NUMBER,VC_VOV_DCMN,
2018,R,F,West Bank,2018,NUMBER,VC_VOV_DCMN,
2018,R,F,Gaza Strip,2018,NUMBER,VC_VOV_DCMN,
2018,R,F,PS,2018,NUMBER,VC_VOV_DCMN,
2018,R,_T,West Bank,2018,NUMBER,VC_VOV_DCMN,
2018,R,_T,Gaza Strip,2018,NUMBER,VC_VOV_DCMN,
2018,R,_T,PS,2018,NUMBER,VC_VOV_DCMN,7.3
2018,Camp,M,West Bank,2018,NUMBER,VC_VOV_DCMN,
2018,Camp,M,Gaza Strip,2018,NUMBER,VC_VOV_DCMN,
2018,Camp,M,PS,2018,NUMBER,VC_VOV_DCMN,
2018,Camp,F,West Bank,2018,NUMBER,VC_VOV_DCMN,
2018,Camp,F,Gaza Strip,2018,NUMBER,VC_VOV_DCMN,
2018,Camp,F,PS,2018,NUMBER,VC_VOV_DCMN,
2018,Camp,_T,West Bank,2018,NUMBER,VC_VOV_DCMN,
2018,Camp,_T,Gaza Strip,2018,NUMBER,VC_VOV_DCMN,
2018,Camp,_T,PS,2018,NUMBER,VC_VOV_DCMN,16.9
